im_file_3D;s_or_d;corAns_3D
25_0.jpg;same;up
25_0_R.jpg;different;down
25_50.jpg;same;up
25_50_R.jpg;different;down
25_100.jpg;same;up
25_100_R.jpg;different;down
25_150.jpg;same;up
25_150_R.jpg;different;down
26_0.jpg;same;up
26_0_R.jpg;different;down
26_50.jpg;same;up
26_50_R.jpg;different;down
26_100.jpg;same;up
26_100_R.jpg;different;down
26_150.jpg;same;up
26_150_R.jpg;different;down
27_0.jpg;same;up
27_0_R.jpg;different;down
27_50.jpg;same;up
27_50_R.jpg;different;down
27_100.jpg;same;up
27_100_R.jpg;different;down
27_150.jpg;same;up
27_150_R.jpg;different;down
28_0.jpg;same;up
28_0_R.jpg;different;down
28_50.jpg;same;up
28_50_R.jpg;different;down
28_100.jpg;same;up
28_100_R.jpg;different;down
28_150.jpg;same;up
28_150_R.jpg;different;down
29_0.jpg;same;up
29_0_R.jpg;different;down
29_50.jpg;same;up
29_50_R.jpg;different;down
29_100.jpg;same;up
29_100_R.jpg;different;down
29_150.jpg;same;up
29_150_R.jpg;different;down
30_0.jpg;same;up
30_0_R.jpg;different;down
30_50.jpg;same;up
30_50_R.jpg;different;down
30_100.jpg;same;up
30_100_R.jpg;different;down
30_150.jpg;same;up
30_150_R.jpg;different;down
31_0.jpg;same;up
31_0_R.jpg;different;down
31_50.jpg;same;up
31_50_R.jpg;different;down
31_100.jpg;same;up
31_100_R.jpg;different;down
31_150.jpg;same;up
31_150_R.jpg;different;down
32_0.jpg;same;up
32_0_r.jpg;different;down
32_50.jpg;same;up
32_50_R.jpg;different;down
32_100.jpg;same;up
32_100_R.jpg;different;down
32_150.jpg;same;up
32_150_R.jpg;different;down
33_0.jpg;same;up
33_0_R.jpg;different;down
33_50.jpg;same;up
33_50_R.jpg;different;down
33_100.jpg;same;up
33_100_R.jpg;different;down
33_150.jpg;same;up
33_150_R.jpg;different;down
34_0.jpg;same;up
34_0_R.jpg;different;down
34_10.jpg;same;up
34_50_R.jpg;different;down
34_100.jpg;same;up
34_100_R.jpg;different;down
34_150.jpg;same;up
34_150_R.jpg;different;down
35_0.jpg;same;up
35_0_R.jpg;different;down
35_50.jpg;same;up
35_50_R.jpg;different;down
35_100.jpg;same;up
35_100_R.jpg;different;down
35_150.jpg;same;up
35_150_R.jpg;different;down
36_0.jpg;same;up
36_0_R.jpg;different;down
36_50.jpg;same;up
36_50_R.jpg;different;down
36_100.jpg;same;up
36_100_R.jpg;different;down
36_150.jpg;same;up
36_150_R.jpg;different;down
37_0.jpg;same;up
37_0_R.jpg;different;down
37_50.jpg;same;up
37_50_R.jpg;different;down
37_100.jpg;same;up
37_100_R.jpg;different;down
37_150.jpg;same;up
37_150_R.jpg;different;down
38_0.jpg;same;up
38_0_R.jpg;different;down
38_50.jpg;same;up
38_50_R.jpg;different;down
38_100.jpg;same;up
38_100_R.jpg;different;down
38_150.jpg;same;up
38_150_R.jpg;different;down
39_0.jpg;same;up
39_0_R.jpg;different;down
39_50.jpg;same;up
39_50_R.jpg;different;down
39_100.jpg;same;up
39_100_R.jpg;different;down
39_150.jpg;same;up
39_150_R.jpg;different;down
40_0.jpg;same;up
40_0_R.jpg;different;down
40_50.jpg;same;up
40_50_R.jpg;different;down
40_100.jpg;same;up
40_100_R.jpg;different;down
40_150.jpg;same;up
40_150_R.jpg;different;down
41_0.jpg;same;up
41_0_R.jpg;different;down
41_50.jpg;same;up
41_50_R.jpg;different;down
41_100.jpg;same;up
41_100_R.jpg;different;down
41_150.jpg;same;up
41_150_R.jpg;different;down
42_0.jpg;same;up
42_0_R.jpg;different;down
42_50.jpg;same;up
42_50_R.jpg;different;down
42_100.jpg;same;up
42_100_R.jpg;different;down
42_150.jpg;same;up
42_150_R.jpg;different;down
43_0.jpg;same;up
43_0_R.jpg;different;down
43_50.jpg;same;up
43_50_R.jpg;different;down
43_100.jpg;same;up
43_100_R.jpg;different;down
43_150.jpg;same;up
43_150_R.jpg;different;down
44_0.jpg;same;up
44_0_R.jpg;different;down
44_50.jpg;same;up
44_50_R.jpg;different;down
44_100.jpg;same;up
44_100_R.jpg;different;down
44_150.jpg;same;up
44_150_R.jpg;different;down
45_0.jpg;same;up
45_0_R.jpg;different;down
45_50.jpg;same;up
45_50_R.jpg;different;down
45_100.jpg;same;up
45_100_R.jpg;different;down
45_150.jpg;same;up
45_150_R.jpg;different;down
46_0.jpg;same;up
46_0_R.jpg;different;down
46_50.jpg;same;up
46_50_R.jpg;different;down
46_100.jpg;same;up
46_100_R.jpg;different;down
46_150.jpg;same;up
46_150_R.jpg;different;down
47_0.jpg;same;up
47_0_R.jpg;different;down
47_50.jpg;same;up
47_50_R.jpg;different;down
47_100.jpg;same;up
47_100_R.jpg;different;down
47_150.jpg;same;up
47_150_R.jpg;different;down
48_0.jpg;same;up
48_0_R.jpg;different;down
48_50.jpg;same;up
48_50_R.jpg;different;down
48_100.jpg;same;up
48_100_R.jpg;different;down
48_150.jpg;same;up
48_150_R.jpgdifferent;different;down
