target_no;target_2D;correct_2D;wrong_2D
1;Stimuli_2D\\target1.png;Stimuli_2D\\correct1.png;Stimuli_2D\\wrong1.png
2;Stimuli_2D\\target2.png;Stimuli_2D\\correct2.png;Stimuli_2D\\wrongt2.png
3;Stimuli_2D\\target3.png;Stimuli_2D\\correct3.png;Stimuli_2D\wrong3.png
4;Stimuli_2D\\target4.png;Stimuli_2D\\correct4.png;Stimuli_2D\wrong4.png
5;Stimuli_2D\\target5.png;Stimuli_2D\\correct5.png;Stimuli_2D\\wrong5.png
6;Stimuli_2D\\target6.png;Stimuli_2D\\correct6.png;Stimuli_2D\\wrong6.png
7;Stimuli_2D\\target7.png;Stimuli_2D\\correct7.png;Stimuli_2D\\wrong7.png
8;Stimuli_2D\\target8.png;Stimuli_2D\\correct8.png;Stimuli_2D\\wrong8.png
9;Stimuli_2D\\target9.png;Stimuli_2D\\correct9.png;Stimuli_2D\\wrong9.png
10;Stimuli_2D\\target10.png;Stimuli_2D\\correct10.png;Stimuli_2D\\wrong10.png
11;Stimuli_2D\\target11.png;Stimuli_2D\\correct11.png;Stimuli_2D\\wrong11.png
12;Stimuli_2D\\target12.png;Stimuli_2D\\correct12.png;Stimuli_2D\\wrongt12.png
13;Stimuli_2D\\target13.png;Stimuli_2D\\correct13.png;Stimuli_2D\\wrong13.png
14;Stimuli_2D\\target14.png;Stimuli_2D\\correct14.png;Stimuli_2D\\wrong14.png
15;Stimuli_2D\\target15.png;Stimuli_2D\\correct15.png;Stimuli_2D\\wrong15.png
